County,State,Violent,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,Population,h_grad,b_grad,o_occ_r,o_occ_mv,ps_pvt,hh_inc,ca_inc,o_m_cst,gos_ret,ps_pr_hh,lv_sm,tvl_t,in_out_ratio,mob_in_ratio,diabetes_percentage
"Nottoway County, Virginia",VA,38.47386983,12.82462328,6.412311638,0,19.23693492,429.6248798,76.94773966,327.0278936,25.64924655,6.412311638,15595,0.766,0.137,0.589,0.589,0.221,38410,19452,1129,780,2.44,0.884,25.4,0.992547425,0.093940366,20.6
"Orange County, Virginia",VA,59.09999156,0,16.88571187,5.628570624,36.58570906,590.9999156,121.0142684,439.0285087,30.95713843,0,35533,0.886,0.256,0.773,0.773,0.091,67196,30660,1522,918,2.58,0.876,39.3,1.011346999,0.077758703,12.2
"Page County, Virginia",VA,109.9179843,21.1380739,46.50376258,4.22761478,38.04853302,634.142217,164.8769764,426.9890928,42.2761478,21.1380739,23654,0.81,0.132,0.689,0.689,0.154,46140,24057,1156,734,2.48,0.866,33.8,0.702362205,0.037710324,19.9
"Patrick County, Virginia",VA,184.1209619,5.579423088,50.21480779,33.47653853,94.85019249,1272.108464,189.700385,987.5578865,94.85019249,11.15884618,17923,0.787,0.143,0.77,0.77,0.145,37757,21785,1014,544,2.29,0.858,28,1.669281046,0.071249233,13.5
"Pittsylvania County, Virginia",VA,74.57000665,3.242174202,27.55848072,3.242174202,40.52717753,594.9389661,189.6671908,372.8500332,32.42174202,19.45304521,61687,0.824,0.141,0.752,0.752,0.126,44356,23597,991,667,2.28,0.894,25.1,1.103677758,0.051080455,9.9
"Powhatan County, Virginia",VA,63.28446366,3.515803537,24.61062476,7.031607074,28.1264283,738.3187427,108.9899096,562.5285659,66.8002672,7.031607074,28443,0.908,0.284,0.898,0.898,0.054,80441,33807,1552,983,2.58,0.896,31.8,1.293030623,0.086102029,15.4
"Prince Edward County, Virginia",VA,51.85377236,0,17.28459079,4.321147697,30.24803388,375.9398496,90.74410163,263.5900095,21.60573848,4.321147697,23142,0.826,0.249,0.649,0.649,0.234,44147,19751,1176,764,2.52,0.871,21.4,1.080417992,0.102756892,13.5
"Prince George County, Virginia",VA,105.6942793,0,18.49649888,34.35064077,52.84713965,1006.73801,179.6802748,771.5682389,55.48949663,2.642356982,37845,0.896,0.23,0.682,0.682,0.107,68461,27970,1423,1295,2.98,0.824,25.7,1.145676275,0.136530585,11.5
"Prince George's County, Maryland",MD,1.101262157,0,0,0,1.101262157,0.110126216,0,0.110126216,0,0,908049,0.861,0.319,0.618,0.618,0.086,78607,34391,1990,1385,2.89,0.853,36.9,1.155691838,0.061636542,
"Prince William County, Virginia",VA,185.1892533,4.83293425,18.23334285,50.5261308,111.5968454,1133.323082,120.6036774,940.2253905,72.49401375,2.196788296,455210,0.888,0.398,0.725,0.725,0.061,101059,38225,2217,1620,3.21,0.854,39.1,0.99478173,0.077893719,9.2
"Pulaski County, Virginia",VA,140.3385668,5.847440283,17.54232085,8.771160425,108.1776452,1774.698126,233.8976113,1508.639593,32.16092156,11.69488057,34203,0.854,0.185,0.728,0.728,0.148,49691,26328,1052,641,2.28,0.867,22.8,1.037231253,0.057831184,11.8
"Queen Anne's County, Maryland",MD,147.1519957,0,12.26266631,22.48155491,112.4077745,964.6630832,216.6404382,725.5410902,22.48155491,8.175110875,48929,0.919,0.353,0.811,0.811,0.077,89241,40553,2102,1325,2.7,0.878,36.2,1.407996894,0.074127818,
"Rappahannock County, Virginia",VA,13.53546291,0,13.53546291,0,0,365.4574986,121.8191662,243.6383324,0,0,7388,0.886,0.336,0.752,0.752,0.089,62541,38185,1874,1056,2.34,0.928,37.9,0.87434555,0.045208446,6.5
"Richmond County, Virginia",VA,102.5757921,0,11.39731023,0,91.17848188,490.0843401,136.7677228,296.3300661,56.98655117,0,8774,0.805,0.134,0.719,0.719,0.184,47341,19728,1129,816,2.2,0.873,24.7,1.568296796,0.105994985,13.4
"Roanoke County, Virginia",VA,177.6010039,1.063479065,26.58697664,12.76174878,137.1887994,1242.143548,179.7279621,1018.812945,43.60264168,1.063479065,94031,0.921,0.347,0.748,0.748,0.073,62134,33717,1314,907,2.37,0.873,22.4,1.104847349,0.087747658,9.1
"Rockbridge County, Virginia",VA,102.7152554,0,26.79528403,0,75.91997142,1058.413719,200.9646302,790.4608789,66.98821008,8.931761343,22392,0.857,0.258,0.769,0.769,0.126,53918,31534,1267,742,2.43,0.881,23.5,0.953715776,0.065335834,10
"Rockingham County, Virginia",VA,87.78089888,1.254012841,33.85834671,6.270064205,46.39847512,453.9526485,145.4654896,299.709069,8.778089888,6.270064205,79744,0.825,0.248,0.733,0.733,0.084,57651,28884,1307,848,2.52,0.88,21.7,0.74740615,0.049683989,8.5
"Russell County, Virginia",VA,127.8772379,3.653635367,43.84362441,3.653635367,76.72634271,719.7661673,281.3299233,398.246255,40.18998904,14.61454147,27370,0.788,0.136,0.779,0.779,0.202,40083,21673,954,544,2.45,0.917,28.1,0.951538462,0.045195469,16.6
"Scott County, Virginia",VA,72.95941632,4.55996352,31.91974464,0,36.47970816,807.1135431,150.4787962,574.5554036,82.07934337,9.119927041,21930,0.799,0.133,0.772,0.772,0.176,38725,20969,894,529,2.4,0.884,28.2,0.991651206,0.04874601,14.3
